college_code,college_name,place,district,branch_code,branch,category,gender,cutoff_rank
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_A,GIRLS,73042
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_B,BOYS,54897
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_B,GIRLS,56117
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_C,BOYS,148223
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_C,GIRLS,148223
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_D,BOYS,54033
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_D,GIRLS,54033
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_E,BOYS,80780
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BC_E,GIRLS,80780
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),EWS,BOYS,35697
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),EWS,GIRLS,37441
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,30045
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,GIRLS,30045
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),SC,BOYS,99227
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),SC,GIRLS,107709
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),ST,BOYS,125744
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),ST,GIRLS,146241
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_A,BOYS,64755
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_A,GIRLS,64755
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_B,BOYS,47971
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_B,GIRLS,51168
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_C,BOYS,89745
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_C,GIRLS,129991
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_D,BOYS,46470
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_D,GIRLS,49932
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_E,BOYS,78507
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_E,GIRLS,85471
